春日春风春浩荡 龙年龙岁龙腾飞
千里云霞辉大地 万般气象壮龙年
九州骨肉同龙脉 两岸山河共月圆
中华跃日神龙舞 在地迎春紫燕飞
世纪风云龙际会 春风杨柳燕剪裁
一联壮我楹间色 万国腾龙海内春
八面威风增国力 九州春色启龙年
百尺高梧栖彩凤 万川汇海起蛟龙
报春乐曲神龙吟 强国宏图众手描
北海云生龙对舞 丹山日上凤双飞
笔架山高才气现 砚池水满墨龙飞
笔走神龙大手笔 春归盛世好青春
笔走神龙凭大手 诗流雅韵有高人
风调雨顺龙气象 锦山绣水凤文章
玉凤腾飞应盛纪 金龙崛起颂新元
龙白海上飞跃起 春从梅梢飘洒来
龙腾九野丰年景 花放千村盛世图
龙飞满目皆春意 风舞千山尽彩霞
龙腾千载兴华夏 岁启新元颂太平
龙腾岁首开新运 鹊上枝头报好音
龙腾霄汉开新运 鹊立枝头报好音
金龙跃起年年盛 玉凤腾飞岁岁昌
金龙出海迎新岁 彩凤朝阳贺小康
金龙献瑞苏千里 绿柳迎春乐万家
梅花香遍神州地 龙步震开盛纪春
龙从百丈潭中起 春自千重锦上来
龙腾盛世千家喜 春满神州万物荣
龙腾云海国昌盛 春满人间民泰安
龙兴阳动乾坤晓 政协人和天地春
九天揽月中华志 四海腾龙民族魂
梅为春意赋新意 雪向龙年报丰年
梅为小院添春色 鹊向龙年报好音
云灵化鹤人增寿 海啸腾龙国有威
云龙上下驰东野 雪鹤飞扬入北山
指点江山扬国粹 笔挥风雨走蛟龙
中华民族龙传世 百鸟成群凤向阳
中华振兴巨龙舞 大地焕然万象新
紫薇祥气腾龙态 伟业宏图壮国威
梅花香遍神州地 龙步震开盛世春
世纪春光辉大地 江山国色舞神龙
金龙献瑞苏万物 绿柳迎春喜千家
神州春暖山河秀 华夏龙腾日月新
九州日丽迎新岁 四海龙吟乐大年
千里云霞辉大地 万般气象壮龙年
九州骨肉同龙脉 两岸山河共月圆
世纪风云龙际会 春风杨柳燕剪裁
一联壮我楹间色 万国腾龙海内春
梅为春意赋新意 雪向龙年报丰年
八面威风增国力 九州春色启龙年
百尺高梧栖彩凤 万川汇海起蛟龙
报春乐曲神龙吟 强国宏图众手描
北海云生龙对舞 丹山日上凤双飞
笔架山高才气现 砚池水满墨龙飞
笔走神龙大手笔 春归盛世好青春
笔走神龙凭大手 诗流雅韵有高人
风调雨顺龙气象 锦山绣水凤文章
虎入深山虎生翅 龙出大海龙腾云 
玉凤腾飞应盛纪 金龙崛起颂新元
龙白海上飞跃起 春从梅梢飘洒来
龙腾九野丰年景 花放千村盛世图
龙飞满目皆春意 风舞千山尽彩霞
龙腾千载兴华夏 岁启新元颂太平
龙腾岁首开新运 鹊上枝头报好音
龙腾霄汉开新运 鹊立枝头报好音
金龙跃起年年盛 玉凤腾飞岁岁昌
福旺财旺运气旺 家兴人兴事业兴
迎新春事事如意 接鸿福步步高升
春归大地人间暖 福降神州喜临门
一年之计春为早 千秋大业志当先
一帆风顺年年好 万事如意步步高
多劳多得人人乐 丰产丰收岁岁甜
福禄寿三星共照 天地人一体同春
和顺门第增百福 合家欢乐纳千祥
天增岁月人增寿 春满乾坤福满楼
迎新春快乐祥和 庆佳节顺意平安
山清水秀风光好 人寿年丰喜事多
鸟鸣花艳春光好 人寿年丰喜事多
一年四季行好运 八方财宝进家门
万事胜意迎新春 千秋吉祥贺佳节
花开富贵全家福 竹报平安满堂春
内外平安好运来 合家欢乐财源进
天增岁月人增寿 春满人间福满门
春雨丝丝润万物 红梅点点绣千山
爆竹四起接五福 梅花一枝报三春
财来运转家昌盛 心想事成万事兴
大地流金万事通 冬去春来万象新
三阳开泰家家福 九域逢春处处欣
新春如意多富贵 佳节平安添吉祥
绿竹别其三分景 红梅正报万家春
大地流金万事通 冬去春来万象新
迎新春江山锦绣 辞旧岁事泰辉煌
三江进宝兴骏业 四海来财展鸿图
春风习习同庆春 喜气洋洋共迎喜
四海财源通宝地 九州鸿运进福门
财源滚滚随春到 喜气洋洋伴福来
三江进宝百业旺 四海来财万福春
一年好运随春到 四季财源顺意来
欢声笑语贺新春 欢聚一堂迎新年
春临大地百花艳 节至人间万象新
财运亨通步步高 日子红火腾腾起
一年四季春常在 万紫千红花永开
家过小康欢乐日 春回大地艳阳天
冬去山川齐秀丽 喜来桃里共芬芳
吉星永照平安宅 五福常临积善家
天地和顺家添财 平安如意人多福
福气降临全家福 春光辉映满堂春
春风堂前初来燕 秀雨庭前新种花
迎新春千般如意 贺佳节万事顺心
国泰民安己岁乐 运丰财茂亥春兴
荣华富贵财源广 吉祥如意喜临门
福星高照全家福 春光耀辉满堂春
事业辉煌年年在 锦绣前承步步高 
健康幸福年年在 如意财源日日来 
好运常临平安宅 和气生财幸福家 
财神送宝年年发 合家迎春岁岁兴 
三星高照平安宅 百福齐临富贵家 
大顺大财大吉利 新春新喜新世纪 
精耕细作丰收岁 勤俭持家有余年 
创大业千秋昌盛 展宏图再就辉煌 
一帆风顺吉星到 万事如意福临门 
春雨丝丝润万物 红梅点点绣千山 
玉地祥光开泰运 金门旭日耀阳春 
春回大地喜盈室 福降人间笑满堂 
冬去山川齐秀丽 喜来桃里共芬芳 
吉星永照平安宅 五福常临积善家 
三江进宝百业旺 四海来财万福春 
好运迎来四季福 新春送到八方财 
百年天地回元气 一统山河际太平 
遍地祥光临福第 满天喜气入华堂 
财源滚滚随春到 喜气洋洋伴福来 
日日财源顺意来 年年福禄随春到 
日丽风和春浩荡 花香鸟语物昭苏 
天意回春生万物 人心乐善淑千祥 
春风惠我财源广 旭日临门福寿康 
财源滚滚随春到 喜气洋洋伴福来 
春风入喜财入户 岁月更新福满门 
东西南北风光好 春夏秋冬气象新 
朱红春帖千门瑞 翠绿柳风万户新 
三春花雨润甲岁 十亿神州庆子年 
春回大地风光好 福满人间喜事多
喜鹊登枝盈门喜 春花灿烂地春
天增岁月人增寿 春满乾坤福满门
春满枝头迎佳节 乐在心中接好年
家添富贵人增寿 福到平安喜迎门
一家和睦一家福 四季平安四季春
春风得意财源广 平安富贵家业兴
合家欢乐迎富贵 满堂欢喜永平安
春红柳发岁更新 爆竹花开灯结彩
天赐良机前程锦 事业腾飞永顺心
春回大地风光好 福满人间喜事多
堆金积玉创富贵 安居乐业创前程
展鸿图年年得意 创伟业事事顺心
宝地财源逐日增 吉门生意连年好
鸿运当头迎百福 吉星高照纳千祥
新春大吉鸿运开 遍地流金广财进
繁荣昌盛铸辉煌 和谐发展兴骏业
好生意年年兴旺 大财源时时通达
开福门四季平安 发财地八方进宝
新年天意同人意 喜事今春同旧春
精耕细作丰收岁 勤俭持家有余年
万事胜意迎新春 千秋吉祥贺佳节
欢声笑语贺新春 欢聚一堂迎新年
丁财两旺平安宅 好年好景富贵家
百世岁月当代好 千古江山今朝新
云灿星辉皆是瑞 湖光山色最宜春
春风入喜财入户 岁月更新福满门
平安顺利人多福 天地通和家进财
新春大吉行鸿运 佳岁平安照福星
一室平安增百福 阖家欢乐纳千祥
日出江花红胜火 春来江水绿如蓝
一路平安年年好 万事如意步步高
春雨丝丝润万物 红梅点点绣千山
一年四季春常在 万紫千红永开花
福气降临阖家福 春光辉映满堂春
荣华富贵财源广 吉祥如意喜临门
吉星高照平安宅 财神常驻幸福家
事业辉煌年年在 锦绣前承步步高
迎新春江山锦绣 辞旧岁事泰辉煌
五湖四海皆春色 万水千山尽得辉
好运迎来四季福 新春送到八方财
迎喜迎春迎富贵 接财接福接平安
瑞日祥云弥画栋 春风淑景满华堂
叁阳启泰人间喜 五福临门大地春
喜居宝地千年旺 福照家门万事兴
春风得意财源广 和气致祥家业兴
迎新春八方进宝 逢盛世四季招财
民安国泰逢盛世 风调雨顺颂华年
发愤图强兴大业 勤劳致富建小康
人财两旺平安宅 福寿双全富贵家
创大业千秋昌盛 展宏图再就辉煌
百尺飞泉鸣震谷 一声长啸势惊天
大顺大财大吉利 新春新喜新世纪
壮丽山河多异彩 文明国度遍高风
三阳启泰人间喜 五福临门大地春
鸟鸣花艳春光好 人寿年丰喜事多
遍地祥光临福宅 满天喜气入华堂
奋发图强兴大业 勤奋致富建小康
天增岁月人增寿 春满乾坤福满门
家有福星四面照 财如人意八方来
出外求财财到手 居家创业业兴隆
